Database Name	OperettaCLS
Database Link	http://10.20.176.50/ODA/OdaService.asmx
Evaluation Signature	a6eb2022-6dd0-42b1-9614-13daf2a76c2d
Plate Name	20191212_CellCharacterisationX8_Hypoxia
Measurement	Measurement 1
Evaluation	Evaluation1
Population	Population - Valid Cells

[Data]
Row	Column	Timepoint	Field	Object No	X	Y	Bounding Box	Position X [µm]	Position Y [µm]	Compound	Concentration	Cell Type	Cell Count	Valid Cells - Nucleus Area [µm²]	Valid Cells - Nucleus Roundness	Valid Cells - Nucleus Ratio Width to Length	Valid Cells - Intensity Nuclei Mean	Valid Cells - Intensity Nuclei Sum	Valid Cells - Intensity Nuclei CV [%]	Valid Cells - Intensity Pax8 Mean	Valid Cells - Intensity Pax8 Sum	Valid Cells - Intensity Pax8 CV [%]	Valid Cells - Nuclei Selected	Valid Cells - Number of Micronuclei Candiates	Valid Cells - Number of Micronuclei- per Cell 	Valid Cells - Object No in Nuclei	Valid Cells - Valid with MN	Valid Cells - Nucleus Area [µm²]- Mean per Cell 	Valid Cells - Nucleus Roundness- Mean per Cell 	Valid Cells - Intensity Nuclei Mean- Mean per Cell 	Valid Cells - Intensity Nuclei Sum- Mean per Cell 	Valid Cells - Intensity Pax8 Mean- Mean per Cell 	Valid Cells - Intensity Pax8 Sum- Mean per Cell 	Valid Cells - Total Spot Area- Mean per Cell 	Valid Cells - Number of Centrosomes- per Cell - Mean per Cell 	Valid Cells - Valid cell with 2 or more Centrosomes	Valid Cells - Valid cells with MN and CA	
1	1	0	5	19	146	1385	[1,1233,312,1732]	933.45	-1673.52	Hypoxia		CIOV1		116.036	0.945967	0.739822	4269.25	55367900	26.794	245.515	3184090	9.72726	1	0	0	19	0	116.036	0.945967	4269.25	55367900	245.515	3184090	335	1	0	0	
1	1	0	5	20	1769	1454	[1571,1262,1965,1649]	1090.05	-1676.1	Hypoxia		CIOV1		158.177	0.957015	0.741875	3224.76	57010500	21.6651	301.666	5333160	10.6566	1	0	0	20	0	158.177	0.957015	3224.76	57010500	301.666	5333160	285	1	0	0	
1	1	0	5	21	319	1630	[94,1403,555,1881]	953.88	-1694.26	Hypoxia		CIOV1		203.656	0.987539	0.782726	4776.7	108727000	29.2969	240.092	5464970	10.0833	1	0	0	21	0	203.656	0.987539	4776.7	108727000	240.092	5464970	0	0	0	0	
1	1	0	5	22	611	1957	[398,1705,809,2158]	979.51	-1723.03	Hypoxia		CIOV1		158.911	0.981604	0.688107	4181.49	74267400	24.0691	278.692	4949860	11.0935	1	0	0	22	0	158.911	0.981604	4181.49	74267400	278.692	4949860	291	1	0	0	
1	1	0	5	23	162	1991	[1,1722,337,2158]	936.46	-1725.05	Hypoxia		CIOV1		237.046	0.976825	0.873004	3825.48	101352000	29.8263	222.978	5907570	10.086	0	0	0	23	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	
1	1	0	4	1	733	174	[387,1,1035,359]	-1056.36	-731.18	Hypoxia		CIOV1		315.433	0.879638	0.849616	3215.92	113377000	35.2107	224.867	7927670	11.3959	0	0	0	1	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	
1	1	0	4	2	1938	267	[1710,1,2158,503]	-943.41	-742.91	Hypoxia		CIOV1		290.157	0.960537	0.924559	2674.19	86723900	26.8585	210.998	6842670	10.5842	1	0	0	2	0	290.157	0.960537	2674.19	86723900	210.998	6842670	609	2	1	0	
1	1	0	4	3	130	130	[1,1,289,504]	-1117.31	-736.12	Hypoxia		CIOV1		111.634	0.843637	0.583267	3934.51	49090900	27.6137	254.69	3177760	10.7378	0	0	0	3	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	
1	1	0	4	4	281	348	[84,181,470,570]	-1100.64	-751.88	Hypoxia		CIOV1		118.657	0.830504	0.469212	4352.69	57725400	26.3614	216.511	2871370	9.91068	1	0	0	4	0	118.657	0.830504	4352.69	57725400	216.511	2871370	304	1	0	0	
1	1	0	4	5	554	510	[306,276,767,740]	-1074.75	-766.08	Hypoxia		CIOV1		175.374	0.969949	0.826826	3218.4	63083800	27.1903	250.749	4914930	11.9578	1	0	0	5	0	175.374	0.969949	3218.4	63083800	250.749	4914930	249	1	0	0	
1	1	0	4	6	1053	533	[790,294,1282,771]	-1029.03	-767.19	Hypoxia		CIOV1		286.086	0.932222	0.851436	3410.53	109052000	26.2084	221.198	7072800	10.8631	1	0	0	6	0	286.086	0.932222	3410.53	109052000	221.198	7072800	496	2	1	0	
1	1	0	4	7	1617	614	[1376,409,1817,848]	-975.11	-776.81	Hypoxia		CIOV1		269.471	0.960818	0.820574	3259.64	98174000	24.4897	212.844	6410420	10.3269	1	0	0	7	0	269.471	0.960818	3259.64	98174000	212.844	6410420	1345	5	1	0	
1	1	0	4	8	1307	722	[1121,525,1552,914]	-1001.19	-787.6	Hypoxia		CIOV1		118.416	0.886693	0.685614	3763.09	49804500	25.3826	272.951	3612510	11.4542	1	0	0	8	0	118.416	0.886693	3763.09	49804500	272.951	3612510	276	1	0	0	
