Database Name	OperettaCLS
Database Link	http://10.20.176.50/ODA/OdaService.asmx
Evaluation Signature	af8b1d54-abee-46e8-8e0d-b6681e708724
Plate Name	20191212_CellCharacterisationX8_Normoxia
Measurement	Measurement 2
Evaluation	Evaluation1
Population	Population - Valid Cells

[Data]
Row	Column	Timepoint	Field	Object No	X	Y	Bounding Box	Position X [µm]	Position Y [µm]	Compound	Concentration	Cell Type	Cell Count	Valid Cells - Nucleus Area [µm²]	Valid Cells - Nucleus Roundness	Valid Cells - Nucleus Ratio Width to Length	Valid Cells - Intensity Nuclei Mean	Valid Cells - Intensity Nuclei Sum	Valid Cells - Intensity Nuclei CV [%]	Valid Cells - Intensity Pax8 Mean	Valid Cells - Intensity Pax8 Sum	Valid Cells - Intensity Pax8 CV [%]	Valid Cells - Nuclei Selected	Valid Cells - Number of Micronuclei Candiates	Valid Cells - Number of Micronuclei- per Cell 	Valid Cells - Object No in Nuclei	Valid Cells - Valid with MN	Valid Cells - Nucleus Area [µm²]- Mean per Cell 	Valid Cells - Nucleus Roundness- Mean per Cell 	Valid Cells - Intensity Nuclei Mean- Mean per Cell 	Valid Cells - Intensity Nuclei Sum- Mean per Cell 	Valid Cells - Intensity Pax8 Mean- Mean per Cell 	Valid Cells - Intensity Pax8 Sum- Mean per Cell 	Valid Cells - Total Spot Area- Mean per Cell 	Valid Cells - Number of Centrosomes- per Cell - Mean per Cell 	Valid Cells - Valid cell with 2 or more Centrosomes	Valid Cells - Valid cells with MN and CA	
1	1	0	4	9	1043	515	[844,368,1203,706]	-1028.32	-768.07	Normoxia		CIOV1		188.728	0.881808	0.734413	2829.12	59674700	20.4417	336.559	7099050	14.141	1	0	0	10	0	188.728	0.881808	2829.12	59674700	336.559	7099050	656	2	1	0	
1	1	0	4	10	2029	680	[1894,532,2158,816]	-934.64	-781.35	Normoxia		CIOV1		110.528	0.962364	0.829242	3463.93	42789900	19.7378	296.252	3659600	13.0436	1	0	0	11	0	110.528	0.962364	3463.93	42789900	296.252	3659600	244	1	0	0	
1	1	0	4	11	1752	671	[1604,510,1904,827]	-962.05	-781.5	Normoxia		CIOV1		110.546	0.942469	0.814377	3683	45503500	20.182	304.038	3756400	14.0432	1	0	0	12	0	110.546	0.942469	3683	45503500	304.038	3756400	310	1	0	0	
1	1	0	4	12	305	780	[130,605,484,951]	-1097.61	-791.3	Normoxia		CIOV1		228.079	0.974268	0.830681	3002.6	76539300	24.672	324.622	8274940	15.3014	1	0	0	13	0	228.079	0.974268	3002.6	76539300	324.622	8274940	339	1	0	0	
1	1	0	4	13	988	765	[839,622,1107,963]	-1035.03	-790.35	Normoxia		CIOV1		105.795	0.750094	0.470449	4624.28	54677500	19.6144	395.639	4678030	13.1409	1	0	0	14	0	105.795	0.750094	4624.28	54677500	395.639	4678030	0	0	0	0	
1	1	0	4	14	818	818	[724,683,932,945]	-1049.17	-796.3	Normoxia		CIOV1		84.786	0.851829	0.749605	5475.46	51885400	22.2237	420.841	3987890	13.4243	1	0	0	15	0	84.786	0.851829	5475.46	51885400	420.841	3987890	299	1	0	0	
1	1	0	4	15	1138	913	[956,762,1457,1073]	-1017.58	-804.65	Normoxia		CIOV1		142.971	0.892944	0.548052	3408.16	54459000	19.3757	435.139	6953080	15.4032	1	0	0	16	0	142.971	0.892944	3408.16	54459000	435.139	6953080	328	1	0	0	
1	1	0	4	16	1523	998	[1359,846,1677,1153]	-983.43	-812.36	Normoxia		CIOV1		135.5	0.936144	0.727926	3400.39	51495500	24.021	322.872	4889580	15.0714	1	0	0	17	0	135.5	0.936144	3400.39	51495500	322.872	4889580	331	1	0	0	
1	1	0	4	17	557	1033	[378,894,768,1173]	-1072.08	-815.5	Normoxia		CIOV1		267.618	0.931949	0.841139	3435.37	102752000	25.7583	302.4	9044790	14.5113	1	0	0	18	0	267.618	0.931949	3435.37	102752000	302.4	9044790	931	4	1	0	
1	1	0	4	18	2035	1141	[1901,948,2158,1274]	-933.84	-823.43	Normoxia		CIOV1		186.841	0.806735	0.832993	2366.36	49414300	28.3627	358.386	7483820	13.9198	0	0	0	19	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	
1	1	0	4	19	416	1146	[303,1040,533,1227]	-1088.53	-825.17	Normoxia		CIOV1		101.213	0.776448	0.526675	3147.2	35601100	19.6119	301.273	3408010	13.2148	1	0	0	20	0	101.213	0.776448	3147.2	35601100	301.273	3408010	0	0	0	0	
