"cell_line","sample_id","Cell.Type","Media","OxygenConditions","Provider","Type","subtype","subtype2","comment","X..CA.cells","Centros..Size","Nuclei.intensity","X..MN.cells","Mitotic.index","X..yH2AX.cells","s1","s2","s3","s4","s5","s6","s7"
"PEA1","JBLAB-6356","PEA1","RPMI 1640","21%","Simon Langdon","HGSOC","HGSOC","HGSOC",NA,6.644315507,2.974613555,8455.315682,14.23926149,0.066760037,0.012816721,0.238588264211194,0,0,0.401672257688176,0.01076079077242,0.117376701466917,0.231601985861293
"PEA2","JBLAB-6383","PEA2","RPMI 1640","21%","Simon Langdon","HGSOC","HGSOC","HGSOC",NA,33.05738005,2.936007876,12047.50409,15.92115295,0.129054354,0.00591716,0.254449339844358,0,0.0793843418247173,0.415871092747946,0,0.136681701508802,0.113613524074177
"PEO1","JBLAB-6352","PEO1","RPMI 1640","21%","Simon Langdon","HGSOC","HGSOC","HGSOC",NA,8.261863216,2.89423328,4541.022329,5.080890962,0.027182017,0.04045331,0.343282282412722,0.0319146393178496,0.456943875168243,0,0.0171765949050757,0,0.15068260819611
"PEO14","JBLAB-6355","PEO14","RPMI 1640","21%","Simon Langdon","HGSOC","HGSOC","HGSOC",NA,17.53438774,2.916607979,5917.411851,19.51470275,0.045140199,0.008536763,0.079645732950734,0.150527186442059,0.0867040560594609,0.553962912637419,0,0,0.129160111910327
"PEO16","JBLAB-6394","PEO16","RPMI 1640","21%","Simon Langdon","HGSOC","HGSOC","HGSOC",NA,2.817195403,NA,3890.111335,8.691823754,0.026337967,0.022469569,NA,NA,NA,NA,NA,NA,NA
"PEO23","JBLAB-6354","PEO23","RPMI 1640","21%","Simon Langdon","HGSOC","HGSOC","HGSOC",NA,37.0253616,2.841372449,7982.358085,19.05689832,0.015784839,0.030346866,0.0694607163376253,0,0,0.532614178234865,0,0.244455097077755,0.153470008349754
"PEO4","JBLAB-6353","PEO4","RPMI 1640","21%","Simon Langdon","HGSOC","HGSOC","HGSOC",NA,6.865433675,2.955530455,5182.660995,4.37218376,0.022112144,0.058228556,0.450356101752045,0.0615583000313162,0.40248346088141,0,0,0,0.0856021373352291
"PEO6","JBLAB-6386","PEO6","RPMI 1640","21%","Simon Langdon","HGSOC","HGSOC","HGSOC",NA,0.45112782,2.971766534,5859.863662,2.733240026,0.02591652,0.030697226,NA,NA,NA,NA,NA,NA,NA
"TOV-1369 M","JBLAB-6367","TOV-1369M","OSE","5%","Mes Masson, Canada","HGSOC","HGSOC","HGSOC",NA,47.23097888,2.892360336,9652.643955,15.91540054,0.052015119,0.060616557,0,0.157819863745925,0.103548824010614,0.231155077985075,0.16613079527931,0.0658974124750235,0.275448026504053
"TOV-1946","JBLAB-6370","TOV-1946","OSE","5%","Mes Masson, Canada","HGSOC","HGSOC","HGSOC",NA,20.92060652,3.002740537,11141.61843,15.7845405,0.036442537,0.072039663,0.107779486499452,0.104261411429753,0.218192127034754,0.163508362926076,0.0287294329078648,0.0300055520968294,0.347523627105271
"TOV-2223 G","JBLAB-6364",NA,"OSE","5%","Mes Masson, Canada","HGSOC","HGSOC","HGSOC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TOV-2295","JBLAB-6365","TOV-2295","OSE","5%","Mes Masson, Canada","HGSOC","HGSOC","HGSOC",NA,35.17886125,2.936421618,10493.91945,14.27284446,0.083497111,NA,0.324240351545988,0,0.0520794105383235,0.320810777061628,0.0299218499261329,0,0.272947610927928
"TOV-2835 EP","JBLAB-6331","TOV-2835EP","OSE","5%","Mes Masson, Canada","HGSOC","HGSOC","HGSOC",NA,36.76212121,2.8793563,10374.55446,14.0250398,0.094934286,0.018514432,0.195257558146397,0.206218092461263,0.108697275806946,0.163826941553282,0.0727746339062992,0.088754349069977,0.164471149055835
"TOV-2881 EP","JBLAB-6336","TOV-2881 EP","OSE","5%","Mes Masson, Canada","HGSOC","HGSOC","HGSOC",NA,45.28925797,2.958433802,8995.536544,19.37096802,0.08756082,NA,0.160676327635617,0.135217053157879,0,0.251973010459023,0.0172607528185369,0.131835254891671,0.303037601037274
"TOV-2929 D","JBLAB-6337","TOV-2929 D","OSE","5%","Mes Masson, Canada","HGSOC","HGSOC","HGSOC",NA,32.79304675,2.947334417,9462.742627,45.87737844,0.036904762,NA,0,0.217809783775456,0.0285920877531662,0.278593002537567,0.0286732420147123,0.155935844558358,0.290396039360741
"TOV-2978 G","JBLAB-6339","TOV-2978 G","OSE","5%","Mes Masson, Canada","HGSOC","HGSOC","HGSOC",NA,51.5854592,2.985910438,8808.629928,36.16241157,0.057396808,NA,NA,NA,NA,NA,NA,NA,NA
"TOV-3041 G","JBLAB-6332","TOV-3041G","OSE","5%","Mes Masson, Canada","HGSOC","HGSOC","HGSOC",NA,28.91146662,2.901047135,8715.109525,13.12933021,0.035338759,0.019446231,0.173138081823074,0,0.0560623277078449,0.280157590163668,0.0823997726735745,0,0.408242227631838
"TOV-3121 D","JBLAB-6392",NA,"OSE","5%","Mes Masson, Canada","HGSOC","HGSOC","HGSOC",NA,NA,NA,NA,NA,NA,NA,0.365306749744755,0,0,0.274405097071185,0,0.218992066098127,0.141296087085934
"TOV-3121 EP","JBLAB-6362","TOV-3121 EP","OSE","5%","Mes Masson, Canada","HGSOC","HGSOC","HGSOC",NA,33.29572153,2.955261925,7104.921848,24.72250762,0.053139041,NA,0.189974904781505,0.166148145108186,0.0876828527207471,0.222779520628717,0.122339546017653,0.0385352979604907,0.172539732782701
"TOV-3133 D","JBLAB-6328","TOV-3133 D","OSE","5%","Mes Masson, Canada","HGSOC","HGSOC","HGSOC",NA,31.99549939,2.943554883,7020.680241,11.00915277,0.067791701,NA,0,0.511885774409308,0.130478828155339,0.245239161717983,0.0244508053826383,0,0.0879454303347312
"TOV-3133 G","JBLAB-6372","TOV-3133G","OSE","5%","Mes Masson, Canada","HGSOC","HGSOC","HGSOC",NA,36.39756724,2.933527328,8500.198341,15.29665341,0.071505429,0.011371947,0,0.563684156640075,0,0.32760562035217,0.0192128232334428,0.0646112718086006,0.0248861279657114
"TOV-3291 G","JBLAB-6359",NA,"OSE","5%","Mes Masson, Canada","HGSOC","HGSOC","HGSOC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TYK-nu",NA,"TYK-nu",NA,"21%","WendyFantl","HGSOC","HGSOC","HGSOC",NA,30.06672898,3.022824316,11161.8376,15.25176275,0.080109887,0.04660963,NA,NA,NA,NA,NA,NA,NA
"TYK-nu.CP-r",NA,"TYK-nu.CP-r",NA,"21%","WendyFantl","HGSOC","HGSOC","HGSOC",NA,12.93156416,3.049308365,8156.94273,14.93250781,0.028526246,0.008847229,NA,NA,NA,NA,NA,NA,NA
"SNU-119",NA,"SNU-119",NA,"21%","WendyFantl","HGSOC","HGSOC","HGSOC",NA,33.8641189,2.936607446,11271.86038,20.53591039,0.070368189,0.047662101,NA,NA,NA,NA,NA,NA,NA
"JHOS-2",NA,"JHOS-2",NA,"21%","WendyFantl","HGSOC","HGSOC","HGSOC",NA,6.660282144,2.999190812,10172.9386,11.35073572,0.041835573,0.109858082,NA,NA,NA,NA,NA,NA,NA
"Kuramochi",NA,"Kuramochi",NA,"21%","WendyFantl","HGSOC","HGSOC","HGSOC",NA,28.31377298,2.97215681,9604.517829,10.33040825,0.053849886,0.012818842,NA,NA,NA,NA,NA,NA,NA
"OV56","JBLAB-6325","OV56","DMEM/F-12","21%","Jozien Helleman, Netherlands","HGSOC","HGSOC","HGSOC",NA,NA,NA,NA,NA,NA,NA,0.879777446475196,0.0482416500628554,0,0.0552970400317641,0,0.0166838634301844,0
